trace_id,experiment_id,request_id,layer,kv_head,sequence_tokens,kept_tokens,removed_tokens,retention_ratio,cold_retention_ratio,score_mean,score_std,margin_abs_mean,near_threshold_0_10_fraction,near_threshold_0_25_fraction
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,0,2742,216,2526,0.0787746170678337,0.03366488140780413,-4.922120094299316,0.3846169710159302,0.9462698101997375,0.014587892049598834,0.03464624361779723
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,1,2742,140,2602,0.05105762217359591,0.0045906656465187455,-5.702560901641846,0.9303438067436218,1.7036890983581543,0.0040116703136396795,0.014223194748358862
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,2,2742,128,2614,0.046681254558716266,0.0,-5.744381427764893,0.42989590764045715,1.7443814277648926,0.00036469730123997083,0.0007293946024799417
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,3,2742,235,2507,0.08570386579139315,0.04093343534812548,-5.283084869384766,0.7840533256530762,1.3158165216445923,0.024799416484318017,0.09008023340627279
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,4,2742,128,2614,0.046681254558716266,0.0,-5.719593524932861,0.556175947189331,1.7195934057235718,0.0007293946024799417,0.0010940919037199124
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,5,2742,129,2613,0.047045951859956234,0.00038255547054322876,-5.6450581550598145,0.5701828598976135,1.646357536315918,0.002188183807439825,0.015681983953318747
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,6,2742,615,2127,0.22428884026258206,0.1863045141545524,-5.283580780029297,0.9600692391395569,1.4110310077667236,0.033187454412837346,0.11196207148067104
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0,7,2742,128,2614,0.046681254558716266,0.0,-6.094046115875244,0.5921648740768433,2.0940463542938232,0.0,0.0
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,1,0,2742,142,2600,0.051787016776075855,0.005355776587605203,-6.073110580444336,0.5943255424499512,2.076802968978882,0.002552881108679796,0.005105762217359592
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,1,1,2742,133,2609,0.04850474106491612,0.0019127773527161439,-5.589846611022949,0.4292675256729126,1.5902682542800903,0.005835156819839533,0.011305616338439095
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,1,2,2742,201,2541,0.07330415754923414,0.0279265493496557,-5.879866600036621,0.8832502365112305,1.9146722555160522,0.009482129832239242,0.023705324580598104
