group_type,group_value,request_count,sequence_tokens_min,sequence_tokens_mean,sequence_tokens_max,logical_removed_fraction_weighted,logical_removed_fraction_mean,logical_removed_fraction_p50,logical_removed_fraction_p90,logical_removed_fraction_min,logical_removed_fraction_max,logical_compression_factor_weighted,logical_compression_factor_mean,layer_load_cv_mean,global_head_load_cv_mean,head_keep_jaccard_mean,head_keep_jaccard_excess_mean,near_threshold_0_25_fraction_mean
all,all,45,2143,6640.0888888888885,16042,0.662269448925271,0.6647052050854738,0.6625041603836384,0.6746711197876792,0.63863137121053,0.7224042688261528,2.9609403023143495,2.987584135712733,0.4889958917077552,0.2034705954154016,0.20461841816147314,0.06893059742370154,0.06534982267112927
category,reasoning,15,2143,6640.4,16042,0.6602027613798366,0.6625344166009765,0.6625041603836384,0.6683549523045378,0.6421862229702586,0.677159761185441,2.942931508392371,2.9647096194495717,0.49176252439084484,0.20276995310373144,0.20570925032975826,0.06867599452705814,0.06467063998192095
category,retrieval,15,2499,6711.666666666667,15870,0.6561278384791546,0.6588501779410704,0.6596986016628874,0.6666962857650613,0.63863137121053,0.6700282816551758,2.9080574466316036,2.932659050664616,0.4869411789834009,0.20435483297004312,0.20633567223100865,0.06630104683083674,0.06623805844694763
category,summarization,15,2381,6568.2,15833,0.6706346135194602,0.6727310207143745,0.6679250304136253,0.7047909250783965,0.6583164544753086,0.7224042688261528,3.036141747272171,3.0653837370240127,0.4882839717490201,0.20328700017243023,0.2018103319236525,0.07181475091320975,0.0651407695845192
length_bucket,"[1024,4096)",15,2143,2927.3333333333335,3887,0.6649035906779017,0.6649744636902571,0.6622159184547941,0.6683549523045378,0.6549672600777573,0.7047909250783965,2.9842158023209056,2.9885443679123,0.478362209884206,0.20245991753968554,0.1928258091275281,0.0685649259088196,0.06153635252966166
length_bucket,"[4096,8192)",15,4377,5891.666666666667,8179,0.6691515794436587,0.6699252397486684,0.6661205825581634,0.6841845711210466,0.6535431517205855,0.7224042688261528,3.0225321865476653,3.037436418841582,0.4969699809899219,0.20699424644588102,0.20282425993896022,0.06880807040920252,0.06531114604524177
length_bucket,"[8192,16384)",15,8193,11101.266666666666,16042,0.6579223567080433,0.6592159118174957,0.6603383008212222,0.6700282816551758,0.63863137121053,0.6746711197876792,2.9233129367256523,2.936771620384319,0.4916554842491379,0.20095762226063826,0.2182051854179311,0.06941879595308252,0.06920196943848436
task,reasoning/2wikimqa,10,2143,5017.7,8578,0.6629412435533766,0.6637738689786228,0.6638334355059854,0.677159761185441,0.6534421971929542,0.677159761185441,2.966841777209132,2.97519870699679,0.48979137953121266,0.20344841118429574,0.2013053028286318,0.06899924262526366,0.06286437030683309
task,reasoning/musique,5,6786,9885.8,16042,0.6574228382573433,0.6600555118456841,0.6625041603836384,0.6678037305093419,0.6421862229702586,0.6678037305093419,2.9190503970349257,2.943731444355136,0.49570481411010936,0.20141303694260276,0.21451714533201122,0.06802949833064706,0.06828317933209668
task,retrieval/narrativeqa,3,8363,10299.666666666666,13495,0.659115518840955,0.6600840641620601,0.6572850651680019,0.6700282816551758,0.6529388456630028,0.6700282816551758,2.9335451018476673,2.943258753813828,0.4869008320020634,0.20298650651211067,0.21417778426677683,0.06782985652195032,0.06756183585169494
task,retrieval/qasper,12,2499,5814.666666666667,15870,0.6548047999630564,0.658541706385823,0.6620821759259259,0.6661205825581634,0.63863137121053,0.6666962857650613,2.896911660107028,2.9300091248773126,0.4869512657287352,0.20469691458452624,0.20437514422206657,0.06591884440805834,0.0659071140957608
task,summarization/gov_report,5,2698,5471.0,8746,0.6640992150531083,0.6635866454961089,0.6621378490239683,0.6694230847471418,0.6583164544753086,0.6694230847471418,2.977069553910412,2.9731684885726173,0.49145944471252434,0.2036314506369957,0.20264914151666483,0.06838768997549978,0.06429104125734372
task,summarization/multi_news,5,2381,5982.2,14300,0.6653594320558397,0.6652577999277332,0.6651223776223776,0.6681531729581475,0.661534894302114,0.6681531729581475,2.9882808475476432,2.987545491053929,0.473020985462241,0.19671826648472707,0.20143776435200889,0.06889897935168124,0.06530242614943063
task,summarization/qmsum,5,2622,8251.4,15833,0.6787923025856891,0.6893486167192815,0.6841845711210466,0.7224042688261528,0.6606921987831322,0.7224042688261528,3.1132504234795677,3.2354372314454922,0.5003714850722951,0.2095112833955679,0.2013440899022839,0.07815758341244831,0.06582884134678321
