left_trace_id,right_trace_id,left_request_id,right_request_id,layer_retention_pearson,layer_head_retention_pearson,logical_removed_fraction_delta,cold_removed_fraction_delta
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000037,longbench__qasper__row000042,0.9978609046992052,0.9973423283886295,-0.007925802569134666,-0.007979178700084355
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,longbench__qasper__row000037,longbench__qasper__row000079,0.9986312370855362,0.998389338082321,0.002575818431530874,-0.006943110045125711
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,longbench__qasper__row000037,longbench__qasper__row000146,0.9982097215209849,0.9975933693145682,-0.0031944609840045546,-4.014757329606766e-05
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,longbench__qasper__row000037,longbench__qasper__row000163,0.9983082583500683,0.9981971120176998,-0.0006613215600106415,-0.0024201994892302237
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,longbench__qasper__row000037,longbench__qasper__row000049,0.9909803419559559,0.992366057650245,-0.005838043360868461,-0.02305641367087574
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,longbench__qasper__row000037,longbench__qasper__row000051,0.9859954093203941,0.9921092518421369,-0.0008108867209660753,-0.018838528749049455
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,longbench__qasper__row000037,longbench__qasper__row000070,0.9877782103519773,0.9917002281092206,0.0038032231181693854,-0.013138065514589625
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,longbench__qasper__row000037,longbench__qasper__row000072,0.9836972420518445,0.9886793865447109,-0.009349910926306437,-0.02905585626122531
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,longbench__qasper__row000037,longbench__qasper__row000077,0.9959263964519655,0.9968303868588235,0.003227519911271459,-0.013093223374241458
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,longbench__qasper__row000037,longbench__narrativeqa__row000002,0.9761488434001675,0.9792627906412366,-0.00560799747889007,-0.02785149577563073
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,longbench__qasper__row000037,longbench__narrativeqa__row000003,0.967378754765222,0.9783503204166188,0.007135219008283844,-0.01570242528303034
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,longbench__qasper__row000037,longbench__narrativeqa__row000005,0.9431885755222076,0.9685966966182092,-0.009954216983889208,-0.03616174248011539
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,longbench__qasper__row000037,longbench__qasper__row000016,0.9100372543573703,0.9563713257346482,-0.02426169143636192,-0.05152885785474537
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,longbench__qasper__row000037,longbench__qasper__row000073,0.9554556483392042,0.9780361606959944,-0.009780719036147523,-0.03364089844964058
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,longbench__qasper__row000037,longbench__gov_report__row000096,0.9973937926379951,0.9966333748895392,-0.0007552136229236339,-0.00023709280501316154
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,longbench__qasper__row000037,longbench__gov_report__row000109,0.99567471502988,0.9949403160187078,-0.004576608171583341,-0.006417189236080256
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,longbench__qasper__row000037,longbench__multi_news__row000054,0.9945623927596603,0.9945940317523381,-0.0013581683447779769,0.0037657538821823655
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,longbench__qasper__row000037,longbench__multi_news__row000127,0.9932482402692183,0.9919880005400898,0.005031967766733314,0.005303411785195
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,longbench__qasper__row000037,longbench__qmsum__row000042,0.9834023756143107,0.9783461206095577,0.04189786243150451,0.04561001981564383
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,longbench__qasper__row000037,longbench__gov_report__row000180,0.99026341735984,0.9934021031867247,0.006432674572344643,-0.007837532441407835
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,longbench__qasper__row000037,longbench__multi_news__row000129,0.9906351871502372,0.9917479196309145,0.0006604616955094844,-0.014997342734132668
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,longbench__qasper__row000037,longbench__multi_news__row000144,0.9857340624767075,0.9902410340823604,0.005260110311255506,-0.010686304111991674
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,longbench__qasper__row000037,longbench__qmsum__row000016,0.969351756936321,0.9779979361914201,0.02129150847415462,0.002136878780688134
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,longbench__qasper__row000037,longbench__qmsum__row000044,0.962205957576771,0.9630796765007902,0.05951120617926087,0.045257151262371065
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,longbench__qasper__row000037,longbench__gov_report__row000003,0.9705107220875121,0.9798369111740328,-0.00416296063200261,-0.026839034547715412
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,longbench__qasper__row000037,longbench__gov_report__row000057,0.9732239259967381,0.9831631658075806,0.006530022100249888,-0.015305483205480197
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,longbench__qasper__row000037,longbench__multi_news__row000073,0.9345214850188834,0.9688963294697683,0.002229314975485619,-0.024223321335869796
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,longbench__qasper__row000037,longbench__qmsum__row000010,0.8164659314578238,0.9072828944764161,-0.0022008638637597278,-0.029275994690911245
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,longbench__qasper__row000037,longbench__qmsum__row000036,0.9112235927533909,0.9512208135236526,0.01177805714078728,-0.012653828143720847
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072355Z::longbench__2wikimqa__row000062,longbench__qasper__row000037,longbench__2wikimqa__row000062,0.996590651771987,0.9940658260307861,-0.000677144192097856,-0.006999680011033016
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072412Z::longbench__2wikimqa__row000089,longbench__qasper__row000037,longbench__2wikimqa__row000089,0.9961866151327972,0.9942835399895752,-0.00285908185622219,-0.012843813545103
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072428Z::longbench__2wikimqa__row000106,longbench__qasper__row000037,longbench__2wikimqa__row000106,0.9922147320134765,0.9922934578205768,0.0021110090143457994,0.001954861075823655
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072443Z::longbench__2wikimqa__row000118,longbench__qasper__row000037,longbench__2wikimqa__row000118,0.9877667158622977,0.987659221564038,-0.0038497303505264924,0.005555105971134955
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072458Z::longbench__2wikimqa__row000134,longbench__qasper__row000037,longbench__2wikimqa__row000134,0.9968998882004997,0.9937845900961513,0.005461889657645824,-0.0033067199548698634
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072514Z::longbench__2wikimqa__row000055,longbench__qasper__row000037,longbench__2wikimqa__row000055,0.996209489416893,0.9939234982641383,0.005419676926128658,-0.006907529782275046
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072530Z::longbench__2wikimqa__row000167,longbench__qasper__row000037,longbench__2wikimqa__row000167,0.9953212848282569,0.9920662164841748,0.014266698538549005,0.0010425329915181303
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072546Z::longbench__musique__row000068,longbench__qasper__row000037,longbench__musique__row000068,0.9870703580063082,0.9830242672295622,0.00282598310088944,-0.016835524284094183
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072604Z::longbench__musique__row000135,longbench__qasper__row000037,longbench__musique__row000135,0.9830170767758505,0.9833225913041744,-0.0008286630294922492,-0.0222181708101431
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072622Z::longbench__musique__row000191,longbench__qasper__row000037,longbench__musique__row000191,0.9820749335716357,0.9819634875233074,-0.0003889022632536099,-0.022315934097147605
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072640Z::longbench__2wikimqa__row000017,longbench__qasper__row000037,longbench__2wikimqa__row000017,0.9877025016837846,0.9888114847197192,-0.0025547618256697158,-0.025011955172849265
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072657Z::longbench__2wikimqa__row000083,longbench__qasper__row000037,longbench__2wikimqa__row000083,0.9844539770118013,0.9892342716763224,0.0009403728590934302,-0.021282146886449138
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072715Z::longbench__2wikimqa__row000124,longbench__qasper__row000037,longbench__2wikimqa__row000124,0.9882656538314832,0.9890759662881483,-0.009450865453937807,-0.03162165408282391
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072733Z::longbench__musique__row000052,longbench__qasper__row000037,longbench__musique__row000052,0.9778676341380691,0.9810832842562328,0.00491066786244998,-0.019416957280468772
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T072754Z::longbench__musique__row000155,longbench__qasper__row000037,longbench__musique__row000155,0.9477439235370748,0.9712828771340166,-0.020706839676633337,-0.048001537697988206
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,longbench__qasper__row000042,longbench__qasper__row000079,0.9987111331779053,0.9980914207951309,0.01050162100066554,0.001036068654958644
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,longbench__qasper__row000042,longbench__qasper__row000146,0.997346230700648,0.997451325653845,0.004731341585130111,0.007939031126788287
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,longbench__qasper__row000042,longbench__qasper__row000163,0.9968417770827118,0.9973930347488695,0.007264481009124024,0.005558979210854131
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071641Z::longbench__qasper__row000049,longbench__qasper__row000042,longbench__qasper__row000049,0.9909301394309675,0.993188319990518,0.0020877592082662044,-0.015077234970791387
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071658Z::longbench__qasper__row000051,longbench__qasper__row000042,longbench__qasper__row000051,0.9872740810663349,0.9936617594236469,0.00711491584816859,-0.0108593500489651
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071714Z::longbench__qasper__row000070,longbench__qasper__row000042,longbench__qasper__row000070,0.986338523581411,0.9913484476087812,0.011729025687304051,-0.00515888681450527
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071731Z::longbench__qasper__row000072,longbench__qasper__row000042,longbench__qasper__row000072,0.9831309218846586,0.9883611845607586,-0.0014241083571717716,-0.021076677561140955
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071748Z::longbench__qasper__row000077,longbench__qasper__row000042,longbench__qasper__row000077,0.9958620528579984,0.9969246576470554,0.011153322480406125,-0.005114044674157103
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071806Z::longbench__narrativeqa__row000002,longbench__qasper__row000042,longbench__narrativeqa__row000002,0.9733431090293195,0.977076999455918,0.0023178050902445957,-0.019872317075546375
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071824Z::longbench__narrativeqa__row000003,longbench__qasper__row000042,longbench__narrativeqa__row000003,0.9663934500863038,0.9786534269113147,0.01506102157741851,-0.007723246582945986
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071844Z::longbench__narrativeqa__row000005,longbench__qasper__row000042,longbench__narrativeqa__row000005,0.9422654650224926,0.9689209136019388,-0.0020284144147545424,-0.028182563780031034
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071904Z::longbench__qasper__row000016,longbench__qasper__row000042,longbench__qasper__row000016,0.908097863448852,0.9571811117712562,-0.016335888867227255,-0.043549679154661014
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071923Z::longbench__qasper__row000073,longbench__qasper__row000042,longbench__qasper__row000073,0.9560122586347113,0.9787636056547661,-0.001854916467012857,-0.025661719749556222
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071940Z::longbench__gov_report__row000096,longbench__qasper__row000042,longbench__gov_report__row000096,0.9970516874140346,0.9956499929820739,0.007170588946211032,0.0077420858950711935
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T071955Z::longbench__gov_report__row000109,longbench__qasper__row000042,longbench__gov_report__row000109,0.9971266355749262,0.9954919960190235,0.003349194397551325,0.0015619894640040988
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072011Z::longbench__multi_news__row000054,longbench__qasper__row000042,longbench__multi_news__row000054,0.9958627884419733,0.9939959255878171,0.006567634224356689,0.01174493258226672
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072026Z::longbench__multi_news__row000127,longbench__qasper__row000042,longbench__multi_news__row000127,0.9941026356555654,0.9918638854655932,0.01295777033586798,0.013282590485279355
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072041Z::longbench__qmsum__row000042,longbench__qasper__row000042,longbench__qmsum__row000042,0.9830713649433958,0.9752406238585343,0.04982366500063917,0.05358919851572819
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072057Z::longbench__gov_report__row000180,longbench__qasper__row000042,longbench__gov_report__row000180,0.9918275277157298,0.9937526730424359,0.014358477141479309,0.00014164625867651992
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072113Z::longbench__multi_news__row000129,longbench__qasper__row000042,longbench__multi_news__row000129,0.9886553915118561,0.9897870316063508,0.00858626426464415,-0.007018164034048313
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072129Z::longbench__multi_news__row000144,longbench__qasper__row000042,longbench__multi_news__row000144,0.9860234627634875,0.9896991662752775,0.013185912880390172,-0.0027071254119073185
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072147Z::longbench__qmsum__row000016,longbench__qasper__row000042,longbench__qmsum__row000016,0.9695268860048295,0.97619031183843,0.029217311043289285,0.010116057480772489
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072204Z::longbench__qmsum__row000044,longbench__qasper__row000042,longbench__qmsum__row000044,0.9605377999349825,0.9591613539920306,0.06743700874839553,0.05323632996245542
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072221Z::longbench__gov_report__row000003,longbench__qasper__row000042,longbench__gov_report__row000003,0.9672167911484837,0.9787691248899818,0.0037628419371320554,-0.018859855847631057
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072239Z::longbench__gov_report__row000057,longbench__qasper__row000042,longbench__gov_report__row000057,0.9699814220056308,0.981568602506689,0.014455824669384554,-0.007326304505395842
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072258Z::longbench__multi_news__row000073,longbench__qasper__row000042,longbench__multi_news__row000073,0.9323578508157414,0.9677001583391508,0.010155117544620285,-0.01624414263578544
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072318Z::longbench__qmsum__row000010,longbench__qasper__row000042,longbench__qmsum__row000010,0.8165866636578156,0.9059802724773983,0.005724938705374938,-0.02129681599082689
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T072338Z::longbench__qmsum__row000036,longbench__qasper__row000042,longbench__qmsum__row000036,0.9114463557801005,0.9501136178307368,0.019703859709921945,-0.004674649443636492
