trace_id,experiment_id,request_id,state,run_length,count
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,1,26404
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,2,11402
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,3,5881
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,4,3770
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,5,2468
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,6,1780
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,7,1241
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,8,940
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,9,783
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,10,641
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,11,497
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,12,436
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,13,372
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,14,293
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,15,263
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,16,216
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,17,243
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,18,180
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,19,189
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,20,154
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,21,137
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,22,90
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,23,145
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,24,109
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,25,97
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,26,118
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,27,83
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,28,73
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,29,59
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,30,72
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,31,70
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,32,50
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,33,45
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,34,63
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,35,58
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,36,43
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,37,55
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,38,41
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,39,43
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,40,47
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,41,32
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,42,37
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,43,28
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,44,25
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,45,28
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,46,21
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,47,24
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,48,29
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,49,21
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,50,23
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,51,22
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,52,23
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,53,26
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,54,14
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,55,21
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,56,22
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,57,19
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,58,21
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,59,14
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,60,22
