trace_id,experiment_id,request_id,state,run_count,mean,p50,p90,p95,p99,max
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,drop,61129,8.563595020366765,2.0,10.0,20.0,97.0,2614
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,keep,61199,3.7475775747969737,2.0,7.0,11.0,32.0,2614
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,drop,61386,8.342814322483955,2.0,9.0,19.0,101.0,2587
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,keep,61439,3.791142433958886,2.0,7.0,11.0,32.0,2587
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,drop,86435,8.516769827037658,2.0,10.0,20.0,95.0,3713
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,keep,86520,3.851098012020342,2.0,7.0,11.0,34.0,3709
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,kvzap-predictor-trace-20260818T071609Z,longbench__qasper__row000146,drop,54466,8.71723644108251,2.0,10.0,20.0,98.0,2371
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,kvzap-predictor-trace-20260818T071609Z,longbench__qasper__row000146,keep,54538,3.8148630312809417,2.0,7.0,11.0,29.0,2371
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T071625Z,longbench__qasper__row000163,drop,64689,8.517645967629736,2.0,10.0,20.0,92.0,2761
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T071625Z,longbench__qasper__row000163,keep,64753,3.7707905425231263,2.0,6.0,11.0,32.0,2761
