trace_id,experiment_id,request_id,threshold_delta,effective_threshold,predicted_drop_fraction
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,-0.5,-4.5,0.6269437859632061
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,-0.25,-4.25,0.6616102905421833
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0.0,-4.0,0.6944761021962882
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0.25,-3.75,0.7274710774779155
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,kvzap-predictor-trace-20260818T070032Z,longbench__qasper__row000037,0.5,-3.5,0.7577447524110544
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,-0.5,-4.5,0.6176987415592388
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,-0.25,-4.25,0.6526268671986905
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,0.0,-4.0,0.6867607939431144
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,0.25,-3.75,0.7207872928176795
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,kvzap-predictor-trace-20260818T070949Z,longbench__qasper__row000042,0.5,-3.5,0.7519285860446081
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,-0.5,-4.5,0.6187543391477913
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,-0.25,-4.25,0.6540361306372762
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,0.0,-4.0,0.6877341331829095
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,0.25,-3.75,0.7217385880413086
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T071553Z,longbench__qasper__row000079,0.5,-3.5,0.7529705082588446
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,kvzap-predictor-trace-20260818T071609Z,longbench__qasper__row000146,-0.5,-4.5,0.6279650749188564
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,kvzap-predictor-trace-20260818T071609Z,longbench__qasper__row000146,-0.25,-4.25,0.6617869369970211
