trace_id,request_id,category,task,length_bucket,capacity_quantum,logical_compression_factor,capacity_compression_factor,capacity_fragmentation,head_cold_kept_p50,head_cold_kept_p90,head_cold_kept_max,head_cold_kept_cv
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",16,2.9664177422505373,2.9403073990229953,0.010202320121530176,338.0,2345.0,2614,1.1316271930905337
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",32,2.9664177422505373,2.9097983728333925,0.02208691499522445,338.0,2345.0,2614,1.1316271930905337
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",64,2.9664177422505373,2.8516293043679224,0.04463809650759797,338.0,2345.0,2614,1.1316271930905337
kvzap-predictor-trace-20260818T070032Z::longbench__qasper__row000037,longbench__qasper__row000037,retrieval,qasper,"[1024,4096)",128,2.9664177422505373,2.734707446808511,0.08954204776422764,338.0,2345.0,2614,1.1316271930905337
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",16,2.8982756831289755,2.8720028208744712,0.010484638390429582,371.0,2353.0,2587,1.1193372002701814
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",32,2.8982756831289755,2.8459119496855347,0.02086696260425074,371.0,2353.0,2587,1.1193372002701814
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",64,2.8982756831289755,2.788110451848471,0.04376313715186547,371.0,2353.0,2587,1.1193372002701814
kvzap-predictor-trace-20260818T070949Z::longbench__qasper__row000042,longbench__qasper__row000042,retrieval,qasper,"[1024,4096)",128,2.8982756831289755,2.6769281332164767,0.0874028335005015,371.0,2353.0,2587,1.1193372002701814
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,longbench__qasper__row000079,retrieval,qasper,"[1024,4096)",16,2.9892585276481447,2.9708662770711585,0.006828858260206028,465.0,3376.0,3712,1.1206492421782088
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,longbench__qasper__row000079,retrieval,qasper,"[1024,4096)",32,2.9892585276481447,2.948315565031983,0.015189042844982502,465.0,3376.0,3712,1.1206492421782088
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,longbench__qasper__row000079,retrieval,qasper,"[1024,4096)",64,2.9892585276481447,2.907890309555855,0.03014099757824143,465.0,3376.0,3712,1.1206492421782088
kvzap-predictor-trace-20260818T071553Z::longbench__qasper__row000079,longbench__qasper__row000079,retrieval,qasper,"[1024,4096)",128,2.9892585276481447,2.819657422512235,0.06262097137198415,465.0,3376.0,3712,1.1206492421782088
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,longbench__qasper__row000146,retrieval,qasper,"[1024,4096)",16,2.938571527729576,2.909196740395809,0.011746656026751786,283.0,2130.0,2371,1.144905506421666
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,longbench__qasper__row000146,retrieval,qasper,"[1024,4096)",32,2.938571527729576,2.8771907381348343,0.024498312078019505,283.0,2130.0,2371,1.144905506421666
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,longbench__qasper__row000146,retrieval,qasper,"[1024,4096)",64,2.938571527729576,2.8085664335664338,0.0516746280630105,283.0,2130.0,2371,1.144905506421666
kvzap-predictor-trace-20260818T071609Z::longbench__qasper__row000146,longbench__qasper__row000146,retrieval,qasper,"[1024,4096)",128,2.938571527729576,2.6826097328244276,0.10097915514380532,283.0,2130.0,2371,1.144905506421666
kvzap-predictor-trace-20260818T071625Z::longbench__qasper__row000163,longbench__qasper__row000163,retrieval,qasper,"[1024,4096)",16,2.960609748286684,2.9349813748730105,0.009950369793694045,322.0,2522.0,2761,1.1389685537661722
