trace_id,experiment_id,request_id,block_size,block_count,all_drop_block_fraction,all_keep_block_fraction,mixed_block_fraction,logical_cold_retention,physical_cold_retention_exact_span,physical_cold_retention_padded,internal_fragmentation_exact_span,internal_fragmentation_padded,physical_compression_factor_exact_span,physical_compression_factor_padded
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,4,267552,0.5311229218992943,0.16225630905394092,0.3066207690467647,0.31159009635814106,0.46892487356734597,0.46925591764670677,0.3355223535324125,0.33599111989732877,2.054979881331436,2.0536293766011955
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,8,133920,0.46363500597371565,0.10998357228195937,0.426381421744325,0.31159009635814106,0.5366037495885327,0.537376185773708,0.41932926000411286,0.4201639287205903,1.811442364060929,1.808995525785604
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,16,67104,0.4020922746781116,0.07491356700047687,0.5229941583214115,0.31159009635814106,0.5986679683993177,0.6003231887961218,0.4795276968112193,0.4809627511091172,1.6338742123873415,1.6296139159949088
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,32,33696,0.3442545109211776,0.053300094966761635,0.6024453941120608,0.31159009635814106,0.6577995481341832,0.6612203369542449,0.5263145174818812,0.5287651045438089,1.4943142981420494,1.4869666207845835
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,4,199008,0.5381391702846117,0.1579484241839524,0.30391240553143595,0.30706718580224557,0.46199671012918025,0.4623626705300012,0.3353476787391287,0.3358737515503623,2.058318428415576,2.056837733610205
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,8,99648,0.4732960019267823,0.10904383429672447,0.41766016377649323,0.30706718580224557,0.5271854501187171,0.5280393577206326,0.4175347864151087,0.4184767076307516,1.82437152598862,1.821659397824602
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,16,49824,0.4128131021194605,0.07500401412973667,0.5121828837508028,0.30706718580224557,0.5872054710451124,0.5886756006277919,0.4770702915016694,0.47837623051681705,1.6515420084916166,1.6477186311787073
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,32,25056,0.3559227330779055,0.052801724137931036,0.5912755427841635,0.30706718580224557,0.6446122077347177,0.6494426335063785,0.5236404428620202,0.5271835109679018,1.514330071218097,1.5038172353961827
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,4,397440,0.5065292874396136,0.17115539452495973,0.32231531803542673,0.3277033999838911,0.4935400809472031,0.49364957110064034,0.3360146163712538,0.3361618865519439,1.98011178898915,1.979692316682981
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,8,198720,0.4348782206119163,0.11630938003220612,0.44881239935587763,0.3277033999838911,0.565147899802666,0.5653266078691958,0.4201457705172114,0.4203290709788871,1.73911109019581,1.738583000453344
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,16,99360,0.369182769726248,0.07735507246376812,0.5534621578099839,0.3277033999838911,0.6308243727598566,0.6310458700817526,0.4805156329800817,0.4806979721752449,1.5644704433497536,1.5639407836016128
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,32,49824,0.30987074502247913,0.05178227360308285,0.638346981374438,0.3277033999838911,0.6903870162297129,0.692380492126777,0.5253337732602228,0.5267004144248946,1.4338845307297252,1.4298899738300925
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,4,396000,0.5130404040404041,0.15843686868686868,0.3285227272727273,0.317785051827605,0.48695406740619507,0.48704815016871755,0.34740240795129634,0.34752846978779894,2.0055169238879835,2.0051471898323205
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,8,198144,0.4409873627260982,0.1084514292635659,0.4505612080103359,0.317785051827605,0.5590505091834879,0.5595209229961003,0.43156289707750956,0.4320408071141606,1.7572191156522332,1.7558007506088946
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,16,99072,0.377281169250646,0.07431968669250646,0.5483991440568475,0.317785051827605,0.6226820280455032,0.6232850417247581,0.489651158192119,0.4901449087431517,1.5841206318981285,1.5826432076002375
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,32,49536,0.31936369509043927,0.051437338501291986,0.6291989664082688,0.317785051827605,0.6805763926774565,0.6812551777090784,0.5330648326231147,0.5335300747419622,1.4538212489268423,1.4524205575312608
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,4,641952,0.4980637181596132,0.15779217137729923,0.34414411046308757,0.32034941159604574,0.502029261253849,0.5021052270715683,0.36189095672241617,0.3619874991853367,1.9643301434504299,1.964041214717818
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,8,321120,0.4136646736422521,0.10711260587942202,0.47922272047832587,0.32034941159604574,0.5866185627734769,0.5867958163481556,0.45390508939665314,0.4540700484374668,1.6878460290883208,1.6873483607407254
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,16,160704,0.3431837415372362,0.07612753882915173,0.5806887196336121,0.32034941159604574,0.6575418084695264,0.6579216375581236,0.5128075394298031,0.5130888037289324,1.5096840851677675,1.5088311375246855
