trace_id,experiment_id,request_id,state,run_count,mean,p50,p90,p95,p99,max
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,drop,86435,8.516769827037658,2.0,10.0,20.0,95.0,3713
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,keep,86520,3.851098012020342,2.0,7.0,11.0,34.0,3709
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,drop,64689,8.517645967629736,2.0,10.0,20.0,92.0,2761
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,keep,64753,3.7707905425231263,2.0,6.0,11.0,32.0,2761
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,drop,135240,7.900051759834368,2.0,10.0,20.0,80.0,5518
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,keep,135282,3.8495956594373237,2.0,7.0,11.0,34.0,5514
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,drop,137092,7.881072564409302,2.0,10.0,19.0,80.0,5499
kvzap-predictor-trace-20260818T032912Z::longbench__qasper__row000070,kvzap-predictor-trace-20260818T032912Z,longbench__qasper__row000070,keep,137183,3.6686761479192027,2.0,6.0,10.0,31.0,5499
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,drop,231397,7.539531627462758,2.0,10.0,19.0,71.0,8912
kvzap-predictor-trace-20260818T032936Z::longbench__narrativeqa__row000003,kvzap-predictor-trace-20260818T032936Z,longbench__narrativeqa__row000003,keep,231429,3.5532236668697528,1.0,6.0,9.0,26.0,8909
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,drop,426504,6.843788100463302,2.0,9.0,17.0,64.0,15742
kvzap-predictor-trace-20260818T033001Z::longbench__qasper__row000016,kvzap-predictor-trace-20260818T033001Z,longbench__qasper__row000016,keep,426581,3.785431137345545,2.0,7.0,11.0,33.0,15742
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,drop,60433,8.513510830175566,2.0,10.0,20.0,97.0,2570
kvzap-predictor-trace-20260818T033025Z::longbench__gov_report__row000096,kvzap-predictor-trace-20260818T033025Z,longbench__gov_report__row000096,keep,60521,3.728672692123395,2.0,7.0,11.0,35.0,2570
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,drop,62784,8.395021024464832,2.0,11.0,21.0,91.0,2612
kvzap-predictor-trace-20260818T033048Z::longbench__multi_news__row000127,kvzap-predictor-trace-20260818T033048Z,longbench__multi_news__row000127,keep,62811,3.5850885991307253,2.0,7.0,11.0,32.0,2612
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,drop,116532,8.002960560189475,2.0,10.0,20.0,80.0,4710
kvzap-predictor-trace-20260818T033110Z::longbench__gov_report__row000180,kvzap-predictor-trace-20260818T033110Z,longbench__gov_report__row000180,keep,116594,3.6355129766540304,2.0,6.0,11.0,30.0,4710
kvzap-predictor-trace-20260818T033133Z::longbench__multi_news__row000144,kvzap-predictor-trace-20260818T033133Z,longbench__multi_news__row000144,drop,130434,7.829369642884524,2.0,10.0,20.0,78.0,5179
