trace_id,experiment_id,request_id,threshold_delta,effective_threshold,predicted_drop_fraction
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,-0.5,-4.5,0.6187543391477913
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,-0.25,-4.25,0.6540361306372762
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0.0,-4.0,0.6877341331829095
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0.25,-3.75,0.7217385880413086
kvzap-predictor-trace-20260818T030718Z::longbench__qasper__row000079,kvzap-predictor-trace-20260818T030718Z,longbench__qasper__row000079,0.5,-3.5,0.7529705082588446
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,-0.5,-4.5,0.6238041325333641
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,-0.25,-4.25,0.6588184108303526
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,0.0,-4.0,0.6925106245913619
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,0.25,-3.75,0.7255766605130571
kvzap-predictor-trace-20260818T032826Z::longbench__qasper__row000163,kvzap-predictor-trace-20260818T032826Z,longbench__qasper__row000163,0.5,-3.5,0.7561319756932425
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,-0.5,-4.5,0.5992246231353564
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,-0.25,-4.25,0.6364141771952612
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,0.0,-4.0,0.6717716820167671
kvzap-predictor-trace-20260818T032848Z::longbench__qasper__row000049,kvzap-predictor-trace-20260818T032848Z,longbench__qasper__row000049,0.25,-3.75,0.7070350936749714
